No,Japanese,Romaji,Meaning
1,一,ichi / hito(tsu),one
2,二,ni / futa(tsu),two
3,三,san / mit(tsu),three
4,四,shi / yon / yo(tsu),four
5,五,go / itsu(tsu),five
6,六,roku / mut(tsu),six
7,七,shichi / nana(tsu),seven
8,八,hachi / yat(tsu),eight
9,九,kyuu / ku / kokono(tsu),nine
10,十,juu / too,ten
11,百,hyaku,hundred
12,千,sen / chi,thousand
13,万,man,ten thousand
14,円,en / maru(i),yen; circle
15,日,nichi / jitsu / hi / ka,day; sun
16,月,getsu / gatsu / tsuki,month; moon
17,火,ka / hi,fire; Tuesday
18,水,sui / mizu,water; Wednesday
19,木,moku / boku / ki,tree; Thursday
20,金,kin / kane / kana,gold; money; Friday
21,土,do / to / tsuchi,earth; soil; Saturday
22,曜,you,weekday
23,年,nen / toshi,year
24,時,ji / toki,time; hour
25,分,fun / pun / bun / wa(karu),minute; part; understand
26,半,han / naka(ba),half
27,今,kon / ima,now
28,何,ka / nani / nan,what
29,間,kan / ken / aida / ma,interval; between
30,毎,mai,every
31,先,sen / saki,previous; ahead
32,生,sei / shou / i(kiru) / u(mareru),life; birth; student
33,人,jin / nin / hito,person
34,子,shi / su / ko,child
35,男,dan / nan / otoko,man; male
36,女,jo / nyo / onna,woman; female
37,父,fu / chichi,father
38,母,bo / haha,mother
39,友,yuu / tomo,friend
40,名,mei / myou / na,name
41,私,shi / watashi,I; private
42,学,gaku / mana(bu),study; learning
43,校,kou,school
44,小,shou / chii(sai) / ko / o,small
45,中,chuu / naka,middle; inside
46,大,dai / tai / oo(kii),big
47,本,hon / moto,book; origin
48,語,go / kata(ru),language; word
49,文,bun / mon / fumi,sentence; writing
50,字,ji / aza,character; letter
51,上,jou / ue / a(geru) / nobo(ru),up; above
52,下,ka / ge / shita / sa(geru),down; below
53,左,sa / hidari,left
54,右,u / yuu / migi,right
55,東,tou / higashi,east
56,西,sei / sai / nishi,west
57,南,nan / minami,south
58,北,hoku / kita,north
59,口,kou / ku / kuchi,mouth
60,目,moku / me,eye
61,耳,ji / mimi,ear
62,手,shu / te,hand
63,足,soku / ashi / ta(riru),foot; leg; enough
64,力,riki / ryoku / chikara,power
65,山,san / yama,mountain
66,川,sen / kawa,river
67,田,den / ta,rice field
68,空,kuu / sora / a(ku),sky; empty
69,天,ten / ama,heaven; sky
70,雨,u / ame,rain
71,電,den,electricity
72,車,sha / kuruma,car; vehicle
73,駅,eki,station
74,社,sha / yashiro,company; shrine
75,店,ten / mise,shop
76,国,koku / kuni,country
77,外,gai / soto / hoka,outside; foreign
78,家,ka / ke / ie / uchi,house; family
79,会,kai / a(u),meeting; meet
80,行,kou / gyou / i(ku) / okona(u),go; conduct
81,来,rai / ku(ru) / kita(ru),come
82,帰,ki / kae(ru),return home
83,入,nyuu / hai(ru) / i(reru),enter; put in
84,出,shutsu / de(ru) / da(su),exit; go out
85,見,ken / mi(ru),see; look
86,聞,bun / mon / ki(ku),hear; ask
87,言,gen / gon / i(u),say
88,話,wa / hana(su),talk; story
89,読,doku / yo(mu),read
90,書,sho / ka(ku),write
91,食,shoku / ta(beru) / ku(u),eat; food
92,飲,in / no(mu),drink
93,買,bai / ka(u),buy
94,休,kyuu / yasu(mu),rest
95,立,ritsu / ta(tsu),stand
96,高,kou / taka(i),high; expensive
97,安,an / yasu(i),cheap; peaceful
98,新,shin / atara(shii),new
99,古,ko / furu(i),old
100,長,chou / naga(i),long; leader
101,白,haku / shiro(i),white
102,赤,seki / aka(i),red
103,青,sei / ao(i),blue
