No,Japanese,Romaji,Meaning
1,あまり,amari,not very (with negative)
2,一番,ichiban,most / number one
3,いつも,itsumo,always
4,一緒に,issho ni,together
5,すぐに,sugu ni,immediately
6,少し,sukoshi,a little
7,全部,zenbu,all
8,大勢,oozei,many people
9,大変,taihen,very / terribly
10,たくさん,takusan,many / a lot
11,たぶん,tabun,probably
12,だんだん,dandan,gradually
13,ちょうど,choudo,exactly
14,ちょっと,chotto,a little / wait a moment
15,時々,tokidoki,sometimes
16,とても,totemo,very
17,どう,dou,how
18,どうして,doushite,why
19,なぜ,naze,why
20,初めて,hajimete,for the first time
21,また,mata,again / also
22,まだ,mada,still / not yet
23,まっすぐ,massugu,straight
24,もう,mou,already / anymore
25,もう一度,mou ichido,one more time
26,もっと,motto,more
27,ゆっくり,yukkuri,slowly
28,よく,yoku,often / well
29,まず,mazu,first
30,すこし,sukoshi,a little
31,ぜんぜん,zenzen,not at all
32,だいたい,daitai,mostly / about
33,本当に,hontou ni,really
34,なるべく,narubeku,as much as possible
35,早く,hayaku,early / quickly
36,ゆっくりと,yukkuri to,slowly
