No,Japanese,Romaji,Meaning
1,ああ,aa,ah / oh
2,いいえ,iie,no
3,ええ,ee,yes
4,はい,hai,yes
5,ください,kudasai,please give me / please do
6,さあ,saa,well / come now
7,しかし,shikashi,however
8,そして,soshite,and / then
9,そうして,soushite,and / like that
10,それから,sorekara,after that / and then
11,それでは,soredewa,well then / in that case
12,でも,demo,but
13,では,dewa,then / well
14,どうぞ,douzo,please / go ahead
15,どうも,doumo,thanks / very
16,じゃ,ja,well then
17,じゃあ,jaa,well then
18,また,mata,again / also
19,おはよう,ohayou,good morning
20,おはようございます,ohayou gozaimasu,good morning (polite)
21,こんにちは,konnichiwa,hello / good afternoon
22,こんばんは,konbanwa,good evening
23,おやすみなさい,oyasuminasai,good night
24,ありがとう,arigatou,thank you
25,ありがとうございます,arigatou gozaimasu,thank you very much
26,すみません,sumimasen,excuse me / sorry
27,ごめんなさい,gomennasai,sorry
28,お願いします,onegaishimasu,please
29,いただきます,itadakimasu,said before eating
30,ごちそうさまでした,gochisousama deshita,said after eating
31,行ってきます,itte kimasu,I’m leaving and coming back
32,行ってらっしゃい,itte rasshai,see you / go and come back
33,ただいま,tadaima,I’m home
34,お帰りなさい,okaerinasai,welcome home
35,はじめまして,hajimemashite,nice to meet you
36,どうぞよろしく,douzo yoroshiku,nice to meet you / please treat me well
