No,Japanese,Romaji,Meaning
1,青い,aoi,blue
2,赤い,akai,red
3,明るい,akarui,bright / cheerful
4,暖かい,atatakai,warm
5,新しい,atarashii,new
6,暑い,atsui,hot weather
7,熱い,atsui,hot to touch
8,厚い,atsui,thick
9,危ない,abunai,dangerous
10,甘い,amai,sweet
11,いい / よい,ii / yoi,good
12,忙しい,isogashii,busy
13,痛い,itai,painful
14,薄い,usui,thin / weak
15,うるさい,urusai,noisy / annoying
16,美味しい,oishii,delicious
17,多い,ooi,many
18,大きい,ookii,big
19,遅い,osoi,late / slow
20,重い,omoi,heavy
21,面白い,omoshiroi,interesting / funny
22,辛い,karai,spicy
23,軽い,karui,light
24,可愛い,kawaii,cute
25,黄色い,kiiroi,yellow
26,汚い,kitanai,dirty
27,暗い,kurai,dark / gloomy
28,黒い,kuroi,black
29,寒い,samui,cold weather
30,白い,shiroi,white
31,少ない,sukunai,few
32,涼しい,suzushii,cool / refreshing
33,狭い,semai,narrow
34,高い,takai,expensive / tall
35,楽しい,tanoshii,fun / enjoyable
36,小さい,chiisai,small
37,近い,chikai,near
38,つまらない,tsumaranai,boring
39,冷たい,tsumetai,cold to touch
40,強い,tsuyoi,strong
41,遠い,tooi,far
42,長い,nagai,long
43,温い,nurui,lukewarm
44,早い,hayai,early
45,速い,hayai,fast
46,低い,hikui,low / short
47,広い,hiroi,wide / spacious
48,太い,futoi,thick / fat
49,古い,furui,old
50,欲しい,hoshii,want / desired
51,細い,hosoi,thin / slender
52,まずい,mazui,bad-tasting / inconvenient
53,丸い,marui,round
54,短い,mijikai,short
55,難しい,muzukashii,difficult
56,易しい,yasashii,easy
57,安い,yasui,cheap
58,弱い,yowai,weak
59,若い,wakai,young
60,悪い,warui,bad
61,眠い,nemui,sleepy
62,広い,hiroi,spacious
63,明るい,akarui,light / bright
