No,Japanese,Romaji,Meaning
1,嫌,iya,unpleasant
2,色々,iroiro,various
3,同じ,onaji,same
4,嫌い,kirai,disliked
5,綺麗,kirei,pretty / clean
6,結構,kekkou,fine / enough
7,元気,genki,healthy / energetic
8,静か,shizuka,quiet
9,上手,jouzu,skillful
10,丈夫,joubu,strong / durable
11,好き,suki,liked
12,大丈夫,daijoubu,all right / okay
13,大好き,daisuki,love / very liked
14,大切,taisetsu,important
15,大変,taihen,hard / serious / very
16,賑やか,nigiyaka,lively
17,暇,hima,free / spare time
18,下手,heta,unskillful
19,便利,benri,convenient
20,有名,yuumei,famous
21,立派,rippa,splendid
22,簡単,kantan,simple / easy
