No,Japanese,Romaji,Meaning
1,兄,ani,older brother (my)
2,姉,ane,older sister (my)
3,妹,imouto,younger sister
4,弟,otouto,younger brother
5,お母さん,okaasan,mother
6,お父さん,otousan,father
7,お兄さん,oniisan,older brother
8,お姉さん,oneesan,older sister
9,おじいさん,ojiisan,grandfather / old man
10,おばあさん,obaasan,grandmother / old woman
11,おじさん,ojisan,uncle / middle-aged man
12,おばさん,obasan,aunt / middle-aged woman
13,奥さん,okusan,wife
14,家族,kazoku,family
15,兄弟,kyoudai,siblings
16,両親,ryoushin,parents
17,子供,kodomo,child
18,男,otoko,man
19,女,onna,woman
20,男の子,otoko no ko,boy
21,女の子,onna no ko,girl
22,大人,otona,adult
23,人,hito,person
24,外国人,gaikokujin,foreigner
25,学生,gakusei,student
26,先生,sensei,teacher / doctor
27,生徒,seito,pupil
28,留学生,ryuugakusei,foreign student
29,警官,keikan,police officer
30,おまわりさん,omawari-san,policeman
31,医者,isha,doctor
32,友達,tomodachi,friend
33,方,kata,person / way
