No,Japanese,Romaji,Meaning
1,家,ie,house / home
2,うち,uchi,home / my place
3,アパート,apaato,apartment
4,部屋,heya,room
5,玄関,genkan,entrance hall
6,台所,daidokoro,kitchen
7,お手洗い,otearai,toilet / bathroom
8,トイレ,toire,toilet
9,お風呂,ofuro,bath
10,学校,gakkou,school
11,大学,daigaku,university
12,教室,kyoushitsu,classroom
13,図書館,toshokan,library
14,食堂,shokudou,dining hall
15,病院,byouin,hospital
16,会社,kaisha,company
17,大使館,taishikan,embassy
18,銀行,ginkou,bank
19,郵便局,yuubinkyoku,post office
20,交番,kouban,police box
21,公園,kouen,park
22,喫茶店,kissaten,coffee shop
23,レストラン,resutoran,restaurant
24,デパート,depaato,department store
25,店,mise,shop
26,八百屋,yaoya,greengrocer
27,ホテル,hoteru,hotel
28,映画館,eigakan,cinema
29,駅,eki,station
30,交差点,kousaten,intersection
31,階段,kaidan,stairs
32,入口,iriguchi,entrance
33,出口,deguchi,exit
34,廊下,rouka,corridor
35,門,mon,gate
36,庭,niwa,garden
37,町,machi,town / city
38,村,mura,village
39,国,kuni,country
40,外国,gaikoku,foreign country
41,北,kita,north
42,南,minami,south
43,東,higashi,east
44,西,nishi,west
45,道,michi,road / street
46,川,kawa,river
47,池,ike,pond
48,海,umi,sea
49,山,yama,mountain
50,空,sora,sky
51,車,kuruma,car
52,自動車,jidousha,automobile
53,自転車,jitensha,bicycle
54,電車,densha,train
55,地下鉄,chikatetsu,subway
56,飛行機,hikouki,airplane
57,バス,basu,bus
58,タクシー,takushii,taxi
