No,Japanese,Romaji,Meaning
1,一,ichi,one
2,二,ni,two
3,三,san,three
4,四,shi / yon,four
5,五,go,five
6,六,roku,six
7,七,shichi / nana,seven
8,八,hachi,eight
9,九,kyuu / ku,nine
10,十,juu / too,ten
11,百,hyaku,hundred
12,千,sen,thousand
13,万,man,ten thousand
14,零,rei,zero
15,ゼロ,zero,zero
16,一つ,hitotsu,one thing
17,二つ,futatsu,two things
18,三つ,mittsu,three things
19,四つ,yottsu,four things
20,五つ,itsutsu,five things
21,六つ,muttsu,six things
22,七つ,nanatsu,seven things
23,八つ,yattsu,eight things
24,九つ,kokonotsu,nine things
25,一人,hitori,one person
26,二人,futari,two people
27,一日,tsuitachi,first day of month
28,二日,futsuka,second day / two days
29,三日,mikka,third day / three days
30,四日,yokka,fourth day / four days
31,五日,itsuka,fifth day / five days
32,六日,muika,sixth day / six days
33,七日,nanoka,seventh day / seven days
34,八日,youka,eighth day / eight days
35,九日,kokonoka,ninth day / nine days
36,十日,tooka,tenth day / ten days
37,二十日,hatsuka,twentieth day / twenty days
38,二十歳,hatachi,20 years old
39,半,han,half
40,半分,hanbun,half
41,時間,jikan,time / hour
42,〜時,-ji,o’clock
43,〜分,-fun / -pun,minute
44,〜月,-gatsu,month of year
45,一月,ichigatsu,January
46,毎朝,maiasa,every morning
47,毎日,mainichi,every day
48,毎晩,maiban,every night
49,毎週,maishuu,every week
50,毎月,maitsuki / maigetsu,every month
51,毎年,maitoshi / mainen,every year
52,今日,kyou,today
53,昨日,kinou,yesterday
54,明日,ashita,tomorrow
55,明後日,asatte,day after tomorrow
56,一昨日,ototoi,day before yesterday
57,今朝,kesa,this morning
58,今晩,konban,tonight
59,昨夜,yuube,last night
60,今週,konshuu,this week
61,先週,senshuu,last week
62,来週,raishuu,next week
63,今月,kongetsu,this month
64,先月,sengetsu,last month
65,来月,raigetsu,next month
66,今年,kotoshi,this year
67,去年,kyonen,last year
68,来年,rainen,next year
69,一昨年,ototoshi,year before last
70,さ来年,sarainen,year after next
71,午前,gozen,morning / A.M.
72,午後,gogo,afternoon / P.M.
73,朝,asa,morning
74,昼,hiru,noon / daytime
75,晩,ban,evening
76,夜,yoru,night
77,夕方,yuugata,evening
78,月曜日,getsuyoubi,Monday
79,火曜日,kayoubi,Tuesday
80,水曜日,suiyoubi,Wednesday
81,木曜日,mokuyoubi,Thursday
82,金曜日,kinyoubi,Friday
83,土曜日,doyoubi,Saturday
84,日曜日,nichiyoubi,Sunday
85,〜回,-kai,counter for times
86,〜階,-kai,counter for floors
87,〜個,-ko,counter for small items
88,〜冊,-satsu,counter for books
89,〜枚,-mai,counter for flat objects
90,〜本,-hon / -bon / -pon,counter for long objects
91,〜人,-nin,counter for people
92,〜台,-dai,counter for machines/vehicles
93,〜匹,-hiki / -biki / -piki,counter for small animals
94,〜円,-en,yen
95,キロ,kiro,kilogram / kilometer
96,グラム,guramu,gram
97,メートル,meetoru,meter
98,ページ,peeji,page
