No,Japanese,Romaji,Meaning
1,は,wa,topic marker
2,が,ga,subject marker
3,を,o,object marker
4,に,ni,time / destination / indirect object marker
5,へ,e,toward / to
6,で,de,at / by means of
7,と,to,and / with / quote marker
8,も,mo,also / too
9,の,no,possession / noun modifier
10,から,kara,from / because
11,まで,made,until / up to
12,だけ,dake,only
13,しか,shika,only (with negative)
14,より,yori,than / from
15,方,hou,side / direction / way
16,や,ya,and such / partial list
17,など,nado,etc.
18,くらい / ぐらい,kurai / gurai,about / approximately
19,ごろ,goro,around (time)
20,で,de,and then / with that
21,では,dewa,well then / in that case
22,じゃ / じゃあ,ja / jaa,well then
23,お〜,o-,honorific prefix
24,〜さん,-san,Mr. / Ms.
25,〜語,-go,language
26,〜側,-gawa,side
27,〜中,-chuu,during / in the middle of
28,〜人,-jin,person from / nationality
29,〜屋,-ya,shop / seller
30,〜がる,-garu,to show feeling
