No,Japanese,Romaji,Meaning
1,私,watashi,I / me
2,私,watakushi,I / me (humble)
3,あなた,anata,you
4,自分,jibun,oneself
5,皆さん,minasan,everyone
6,みんな,minna,everyone
7,誰,dare,who
8,誰か,dareka,someone
9,どなた,donata,who (polite)
10,何,nani / nan,what
11,いつ,itsu,when
12,いくつ,ikutsu,how many / how old
13,いくら,ikura,how much
14,どこ,doko,where
15,どちら,dochira,which way / where / who (polite)
16,どっち,docchi,which way / which one
17,どれ,dore,which one (3+)
18,どの,dono,which + noun
19,どう,dou,how
20,どうして,doushite,why
21,どうぞ,douzo,please / here you are
22,どうも,doumo,thanks / very
23,なぜ,naze,why
24,ここ,koko,here
25,そこ,soko,there
26,あそこ,asoko,over there
27,こちら,kochira,this way / this person
28,そちら,sochira,that way / that person
29,あちら,achira,over there / that person
30,こっち,kocchi,this way
31,そっち,socchi,that way
32,あっち,acchi,over there
33,これ,kore,this one
34,それ,sore,that one
35,あれ,are,that over there
36,この,kono,this + noun
37,その,sono,that + noun
38,あの,ano,that + noun / um
39,こんな,konna,this kind of
40,そんな,sonna,that kind of
41,あんな,anna,that kind of over there
42,上,ue,above / on
43,下,shita,below / under
44,中,naka,inside / middle
45,外,soto,outside
46,前,mae,front / before
47,後ろ,ushiro,behind
48,右,migi,right
49,左,hidari,left
50,横,yoko,side
51,隣,tonari,next to
52,近く,chikaku,nearby
53,そば,soba,near / beside
54,向こう,mukou,over there
