No,Japanese,Romaji,Meaning
1,会う,au,to meet
2,開く,aku,to open / become open
3,開ける,akeru,to open something
4,上げる,ageru,to give / raise
5,遊ぶ,asobu,to play
6,浴びる,abiru,to bathe / shower
7,洗う,arau,to wash
8,ある,aru,to exist / have (things)
9,歩く,aruku,to walk
10,言う,iu,to say
11,行く,iku,to go
12,いる,iru,"to exist / be (people, animals)"
13,要る,iru,to need
14,入れる,ireru,to put in
15,歌う,utau,to sing
16,生まれる,umareru,to be born
17,売る,uru,to sell
18,起きる,okiru,to get up / wake up
19,置く,oku,to put / place
20,教える,oshieru,to teach / tell
21,押す,osu,to push
22,覚える,oboeru,to remember / memorize
23,泳ぐ,oyogu,to swim
24,降りる,oriru,to get off
25,終わる,owaru,to finish
26,買う,kau,to buy
27,返す,kaesu,to return something
28,帰る,kaeru,to go home / return
29,かかる,kakaru,to take time/cost
30,書く,kaku,to write
31,かける,kakeru,to call / hang / wear glasses
32,貸す,kasu,to lend
33,借りる,kariru,to borrow
34,消える,kieru,to disappear
35,聞く,kiku,to listen / ask
36,切る,kiru,to cut
37,着る,kiru,to wear (upper body)
38,来る,kuru,to come
39,曇る,kumoru,to become cloudy
40,消す,kesu,to erase / turn off
41,結婚する,kekkon suru,to marry
42,答える,kotaeru,to answer
43,コピーする,kopii suru,to copy
44,困る,komaru,to be troubled
45,咲く,saku,to bloom
46,差す,sasu,to hold up / raise (umbrella/hand)
47,散歩する,sanpo suru,to take a walk
48,死ぬ,shinu,to die
49,閉まる,shimaru,to close (intransitive)
50,閉める,shimeru,to close something
51,締める,shimeru,to tie / fasten
52,知る,shiru,to know
53,吸う,suu,to smoke / suck
54,住む,sumu,to live
55,する,suru,to do
56,座る,suwaru,to sit
57,掃除する,souji suru,to clean
58,出す,dasu,to take out / submit
59,立つ,tatsu,to stand
60,頼む,tanomu,to ask / request
61,食べる,taberu,to eat
62,違う,chigau,to differ / be wrong
63,使う,tsukau,to use
64,疲れる,tsukareru,to get tired
65,着く,tsuku,to arrive
66,作る,tsukuru,to make
67,つける,tsukeru,to turn on / attach
68,勤める,tsutomeru,to work for
69,出かける,dekakeru,to go out
70,できる,dekiru,can / be able to
71,出る,deru,to leave / appear
72,飛ぶ,tobu,to fly
73,止まる,tomaru,to stop
74,取る,toru,to take
75,撮る,toru,to take a photo
76,鳴く,naku,to make animal sound
77,無くす,nakusu,to lose something
78,習う,narau,to learn
79,並ぶ,narabu,to line up
80,並べる,naraberu,to arrange / line up
81,なる,naru,to become
82,脱ぐ,nugu,to take off clothes
83,寝る,neru,to sleep
84,登る,noboru,to climb
85,飲む,nomu,to drink
86,乗る,noru,to ride / get on
87,入る,hairu,to enter
88,はく,haku,to wear (lower body/shoes)
89,始まる,hajimaru,to begin
90,走る,hashiru,to run
91,働く,hataraku,to work
92,話す,hanasu,to speak
93,貼る,haru,to stick / paste
94,晴れる,hareru,to be sunny
95,引く,hiku,to pull
96,弾く,hiku,to play an instrument
97,吹く,fuku,to blow
98,降る,furu,to fall (rain/snow)
99,勉強する,benkyou suru,to study
100,曲がる,magaru,to turn / bend
101,待つ,matsu,to wait
102,磨く,migaku,to brush / polish
103,見せる,miseru,to show
104,見る,miru,to see / watch
105,持つ,motsu,to hold / have
106,休む,yasumu,to rest / take a day off
107,やる,yaru,to do
108,行く / ゆく,iku / yuku,to go
109,呼ぶ,yobu,to call / invite
110,読む,yomu,to read
111,練習する,renshuu suru,to practice
112,分かる,wakaru,to understand
113,忘れる,wasureru,to forget
114,渡す,watasu,to hand over
115,渡る,wataru,to cross
116,かぶる,kaburu,to wear on the head
117,磨く,migaku,to polish / brush teeth
118,見える,mieru,to be visible
119,聞こえる,kikoeru,to be audible
120,持って行く,motte iku,to take along
121,持って来る,motte kuru,to bring
122,シャワーを浴びる,shawaa o abiru,to take a shower
123,電話する,denwa suru,to call by phone
124,買い物する,kaimono suru,to shop
125,質問する,shitsumon suru,to ask a question
126,料理する,ryouri suru,to cook
127,旅行する,ryokou suru,to travel
128,洗濯する,sentaku suru,to do laundry
