No,Japanese,Romaji,Meaning
1,私,watashi,I / me
2,僕,boku,"I / me, casual male"
3,あなた,anata,you
4,彼,kare,he / boyfriend
5,彼女,kanojo,she / girlfriend
6,人,hito,person
7,男の人,otoko no hito,man
8,女の人,onna no hito,woman
9,男の子,otoko no ko,boy
10,女の子,onna no ko,girl
11,子ども,kodomo,child
12,赤ちゃん,akachan,baby
13,家族,kazoku,family
14,両親,ryoushin,parents
15,父,chichi,my father
16,お父さん,otousan,father / someone’s father
17,母,haha,my mother
18,お母さん,okaasan,mother / someone’s mother
19,兄,ani,my elder brother
20,お兄さん,oniisan,elder brother
21,弟,otouto,younger brother
22,姉,ane,my elder sister
23,お姉さん,oneesan,elder sister
24,妹,imouto,younger sister
25,夫,otto,my husband
26,主人,shujin,my husband
27,旦那さん,danna-san,husband
28,妻,tsuma,my wife
29,奥さん,okusan,wife
30,息子,musuko,son
31,娘,musume,daughter
32,友達,tomodachi,friend
33,親友,shinyuu,close friend
34,先生,sensei,teacher
35,学生,gakusei,student
36,会社員,kaishain,company employee
37,医者,isha,doctor
38,看護師,kangoshi,nurse
39,店員,ten’in,shop staff
40,お客さん,okyakusan,customer / guest
41,外国人,gaikokujin,foreigner
42,日本人,nihonjin,Japanese person
43,インド人,indojin,Indian person
44,名前,namae,name
45,年齢,nenrei,age
46,誕生日,tanjoubi,birthday
47,国,kuni,country
48,出身,shusshin,hometown / origin
49,住所,juusho,address
50,電話番号,denwa bangou,phone number
51,仕事,shigoto,work / job
52,会社,kaisha,company
53,学校,gakkou,school
54,大学,daigaku,university
55,高校,koukou,high school
56,中学校,chuugakkou,junior high school
57,小学校,shougakkou,elementary school
58,幼稚園,youchien,kindergarten
59,先生,sensei,teacher
60,生徒,seito,pupil / student
61,クラス,kurasu,class
62,同僚,douryou,coworker
63,上司,joushi,boss
64,部長,buchou,manager / department head
65,社長,shachou,company president
66,受付,uketsuke,reception
67,隣の人,tonari no hito,neighbour / person beside
68,近所の人,kinjo no hito,neighbour
69,誰,dare,who
70,どなた,donata,"who, polite"
71,みんな,minna,everyone
72,皆さん,minasan,"everyone, polite"
73,一人,hitori,one person / alone
74,二人,futari,two people
75,大人,otona,adult
76,若い人,wakai hito,young person
77,年上,toshiue,older person
78,年下,toshishita,younger person
79,兄弟,kyoudai,siblings / brothers
80,姉妹,shimai,sisters
81,親戚,shinseki,relatives
82,祖父,sofu,my grandfather
83,おじいさん,ojiisan,grandfather / old man
84,祖母,sobo,my grandmother
85,おばあさん,obaasan,grandmother / old woman
86,孫,mago,grandchild
87,いとこ,itoko,cousin
88,おじ,oji,uncle
89,おば,oba,aunt
90,結婚,kekkon,marriage
91,独身,dokushin,single / unmarried
92,離婚,rikon,divorce
93,彼氏,kareshi,boyfriend
94,彼女,kanojo,girlfriend
95,知り合い,shiriai,acquaintance
96,初めて,hajimete,first time
97,久しぶり,hisashiburi,long time no see
98,自分,jibun,oneself
99,相手,aite,the other person / partner
100,周りの人,mawari no hito,people around you
