No,Japanese,Romaji,Meaning
101,行きます,ikimasu,go
102,来ます,kimasu,come
103,帰ります,kaerimasu,return home
104,食べます,tabemasu,eat
105,飲みます,nomimasu,drink
106,見ます,mimasu,see / watch
107,聞きます,kikimasu,listen / ask
108,話します,hanashimasu,speak
109,言います,iimasu,say
110,読みます,yomimasu,read
111,書きます,kakimasu,write
112,買います,kaimasu,buy
113,売ります,urimasu,sell
114,使います,tsukaimasu,use
115,作ります,tsukurimasu,make
116,します,shimasu,do
117,勉強します,benkyou shimasu,study
118,仕事します,shigoto shimasu,work
119,運動します,undou shimasu,exercise
120,掃除します,souji shimasu,clean
121,洗濯します,sentaku shimasu,do laundry
122,料理します,ryouri shimasu,cook
123,運転します,unten shimasu,drive
124,予約します,yoyaku shimasu,reserve / book
125,電話します,denwa shimasu,call
126,メールします,meeru shimasu,email
127,送ります,okurimasu,send
128,もらいます,moraimasu,receive
129,あげます,agemasu,give
130,くれます,kuremasu,give me / give us
131,借ります,karimasu,borrow
132,貸します,kashimasu,lend
133,返します,kaeshimasu,return something
134,待ちます,machimasu,wait
135,会います,aimasu,meet
136,入ります,hairimasu,enter
137,出ます,demasu,exit / leave
138,開けます,akemasu,open something
139,開きます,akimasu,something opens
140,閉めます,shimemasu,close something
141,閉まります,shimarimasu,something closes
142,乗ります,norimasu,ride / get on
143,降ります,orimasu,get off
144,歩きます,arukimasu,walk
145,走ります,hashirimasu,run
146,止まります,tomarimasu,stop
147,止めます,tomemasu,stop something
148,起きます,okimasu,wake up
149,寝ます,nemasu,sleep
150,休みます,yasumimasu,rest / take a day off
151,働きます,hatarakimasu,work
152,遊びます,asobimasu,play / hang out
153,泳ぎます,oyogimasu,swim
154,座ります,suwarimasu,sit
155,立ちます,tachimasu,stand
156,持ちます,mochimasu,hold / have
157,置きます,okimasu,put / place
158,忘れます,wasuremasu,forget
159,覚えます,oboemasu,remember / memorize
160,わかります,wakarimasu,understand
161,知っています,shitte imasu,know
162,知りません,shirimasen,don’t know
163,教えます,oshiemasu,teach / tell
164,習います,naraimasu,learn from someone
165,考えます,kangaemasu,think
166,思います,omoimasu,think / feel
167,探します,sagashimasu,search / look for
168,見つけます,mitsukemasu,find
169,無くします,nakushimasu,lose something
170,落とします,otoshimasu,drop
171,拾います,hiroimasu,pick up
172,洗います,araimasu,wash
173,切ります,kirimasu,cut
174,入れます,iremasu,put in
175,出します,dashimasu,take out / submit
176,並びます,narabimasu,line up
177,払います,haraimasu,pay
178,変えます,kaemasu,change something
179,変わります,kawarimasu,something changes
180,選びます,erabimasu,choose
181,決めます,kimemasu,decide
182,始めます,hajimemasu,start something
183,始まります,hajimarimasu,something starts
184,終わります,owarimasu,finish / end
185,続けます,tsuzukemasu,continue
186,手伝います,tetsudaimasu,help
187,困ります,komarimasu,be troubled
188,疲れます,tsukaremasu,get tired
189,急ぎます,isogimasu,hurry
190,遅れます,okuremasu,be late
191,間に合います,maniaimasu,be on time
192,かかります,kakarimasu,take time / cost money
193,できます,dekimasu,can do / be completed
194,あります,arimasu,"exist, things"
195,います,imasu,"exist, people/animals"
196,要ります,irimasu,need
197,見せます,misemasu,show
198,直します,naoshimasu,fix / correct
199,壊れます,kowaremasu,break
200,捨てます,sutemasu,throw away
