No,Japanese,Romaji,Meaning
201,今日,kyou,today
202,昨日,kinou,yesterday
203,明日,ashita,tomorrow
204,今朝,kesa,this morning
205,今晩,konban,tonight
206,今夜,konya,tonight
207,毎日,mainichi,every day
208,毎朝,maiasa,every morning
209,毎晩,maiban,every night
210,週末,shuumatsu,weekend
211,平日,heijitsu,weekday
212,休み,yasumi,holiday / break / rest
213,祝日,shukujitsu,national holiday
214,午前,gozen,morning / A.M.
215,午後,gogo,afternoon / P.M.
216,朝,asa,morning
217,昼,hiru,noon / daytime
218,夕方,yuugata,evening
219,夜,yoru,night
220,深夜,shin’ya,late night
221,今,ima,now
222,さっき,sakki,just now
223,後で,ato de,later
224,すぐ,sugu,soon / immediately
225,もうすぐ,mou sugu,very soon
226,まだ,mada,still / not yet
227,もう,mou,already / anymore
228,いつ,itsu,when
229,何時,nanji,what time
230,一時,ichiji,1 o’clock
231,二時,niji,2 o’clock
232,三時,sanji,3 o’clock
233,四時,yoji,4 o’clock
234,五時,goji,5 o’clock
235,六時,rokuji,6 o’clock
236,七時,shichiji,7 o’clock
237,八時,hachiji,8 o’clock
238,九時,kuji,9 o’clock
239,十時,juuji,10 o’clock
240,半,han,half past
241,分,fun / pun,minute
242,時間,jikan,time / hour
243,一時間,ichi-jikan,one hour
244,二時間,ni-jikan,two hours
245,三十分,sanjuppun,thirty minutes
246,月曜日,getsuyoubi,Monday
247,火曜日,kayoubi,Tuesday
248,水曜日,suiyoubi,Wednesday
249,木曜日,mokuyoubi,Thursday
250,金曜日,kinyoubi,Friday
251,土曜日,doyoubi,Saturday
252,日曜日,nichiyoubi,Sunday
253,今週,konshuu,this week
254,先週,senshuu,last week
255,来週,raishuu,next week
256,今月,kongetsu,this month
257,先月,sengetsu,last month
258,来月,raigetsu,next month
259,今年,kotoshi,this year
260,去年,kyonen,last year
261,来年,rainen,next year
262,一月,ichi-gatsu,January
263,二月,ni-gatsu,February
264,三月,san-gatsu,March
265,四月,shi-gatsu,April
266,五月,go-gatsu,May
267,六月,roku-gatsu,June
268,七月,shichi-gatsu,July
269,八月,hachi-gatsu,August
270,九月,ku-gatsu,September
271,十月,juu-gatsu,October
272,十一月,juuichi-gatsu,November
273,十二月,juuni-gatsu,December
274,日にち,hi-nichi,date
275,一日,tsuitachi,1st day of month
276,二日,futsuka,2nd / two days
277,三日,mikka,3rd / three days
278,四日,yokka,4th / four days
279,五日,itsuka,5th / five days
280,六日,muika,6th / six days
281,七日,nanoka,7th / seven days
282,八日,youka,8th / eight days
283,九日,kokonoka,9th / nine days
284,十日,tooka,10th / ten days
285,予定,yotei,plan / schedule
286,約束,yakusoku,promise / appointment
287,予約,yoyaku,reservation
288,用事,youji,errand / thing to do
289,時間割,jikanwari,timetable
290,早い,hayai,early / fast
291,遅い,osoi,late / slow
292,忙しい,isogashii,busy
293,暇,hima,free / not busy
294,間,aida,during / between
295,前,mae,before / front
296,後,ato / ushiro,after / behind
297,次,tsugi,next
298,最初,saisho,first
299,最後,saigo,last
300,いつでも,itsudemo,anytime
