No,Japanese,Romaji,Meaning
301,家,ie,house / home
302,うち,uchi,home / my house
303,部屋,heya,room
304,玄関,genkan,entrance
305,台所,daidokoro,kitchen
306,キッチン,kicchin,kitchen
307,居間,ima,living room
308,リビング,ribingu,living room
309,寝室,shinshitsu,bedroom
310,トイレ,toire,toilet
311,お風呂,ofuro,bath
312,浴室,yokushitsu,bathroom
313,洗面所,senmenjo,washroom
314,ベランダ,beranda,balcony
315,庭,niwa,garden
316,階段,kaidan,stairs
317,エレベーター,erebeetaa,elevator
318,ドア,doa,door
319,窓,mado,window
320,鍵,kagi,key / lock
321,壁,kabe,wall
322,床,yuka,floor
323,天井,tenjou,ceiling
324,机,tsukue,desk
325,テーブル,teeburu,table
326,椅子,isu,chair
327,ソファ,sofa,sofa
328,ベッド,beddo,bed
329,布団,futon,futon
330,枕,makura,pillow
331,毛布,moufu,blanket
332,シーツ,shiitsu,bedsheet
333,カーテン,kaaten,curtain
334,電気,denki,light / electricity
335,電気をつける,denki o tsukeru,turn on the light
336,電気を消す,denki o kesu,turn off the light
337,エアコン,eakon,air conditioner
338,扇風機,senpuuki,fan
339,冷蔵庫,reizoukō,refrigerator
340,洗濯機,sentakuki,washing machine
341,電子レンジ,denshi renji,microwave
342,炊飯器,suihanki,rice cooker
343,掃除機,soujiki,vacuum cleaner
344,ゴミ,gomi,trash
345,ゴミ箱,gomibako,trash bin
346,燃えるゴミ,moeru gomi,burnable trash
347,燃えないゴミ,moenai gomi,non-burnable trash
348,資源ゴミ,shigen gomi,recyclable trash
349,粗大ゴミ,sodai gomi,oversized trash
350,袋,fukuro,bag
351,箱,hako,box
352,引き出し,hikidashi,drawer
353,棚,tana,shelf
354,皿,sara,plate
355,お皿,osara,"plate, polite"
356,コップ,koppu,cup / glass
357,グラス,gurasu,glass
358,箸,hashi,chopsticks
359,スプーン,supuun,spoon
360,フォーク,fooku,fork
361,ナイフ,naifu,knife
362,鍋,nabe,pot
363,フライパン,furaipan,frying pan
364,包丁,houchou,kitchen knife
365,まな板,manaita,cutting board
366,火,hi,fire
367,水,mizu,water
368,お湯,oyu,hot water
369,洗剤,senzai,detergent
370,石けん,sekken,soap
371,シャンプー,shanpuu,shampoo
372,リンス,rinsu,conditioner
373,タオル,taoru,towel
374,歯ブラシ,haburashi,toothbrush
375,歯磨き粉,hamigakiko,toothpaste
376,鏡,kagami,mirror
377,服,fuku,clothes
378,靴,kutsu,shoes
379,靴下,kutsushita,socks
380,シャツ,shatsu,shirt
381,ズボン,zubon,pants
382,スカート,sukaato,skirt
383,コート,kooto,coat
384,傘,kasa,umbrella
385,財布,saifu,wallet
386,鞄,kaban,bag
387,携帯,keitai,mobile phone
388,スマホ,sumaho,smartphone
389,充電器,juudenki,charger
390,電池,denchi,battery
391,時計,tokei,clock / watch
392,眼鏡,megane,glasses
393,薬,kusuri,medicine
394,体温計,taionkei,thermometer
395,ティッシュ,tisshu,tissue
396,マスク,masuku,mask
397,印鑑,inkan,personal seal
398,書類,shorui,documents
399,封筒,fuutou,envelope
400,郵便物,yuubinbutsu,mail
