No,Japanese,Romaji,Meaning
701,体,karada,body
702,頭,atama,head
703,顔,kao,face
704,目,me,eye
705,耳,mimi,ear
706,鼻,hana,nose
707,口,kuchi,mouth
708,歯,ha,tooth
709,喉,nodo,throat
710,首,kubi,neck
711,肩,kata,shoulder
712,背中,senaka,back
713,胸,mune,chest
714,お腹,onaka,stomach
715,腰,koshi,lower back / waist
716,腕,ude,arm
717,手,te,hand
718,指,yubi,finger
719,足,ashi,leg / foot
720,膝,hiza,knee
721,皮膚,hifu,skin
722,髪,kami,hair
723,痛い,itai,painful
724,頭が痛い,atama ga itai,headache
725,お腹が痛い,onaka ga itai,stomach pain
726,喉が痛い,nodo ga itai,sore throat
727,熱,netsu,fever
728,咳,seki,cough
729,鼻水,hanamizu,runny nose
730,風邪,kaze,cold
731,病気,byouki,illness
732,怪我,kega,injury
733,傷,kizu,wound / cut
734,薬,kusuri,medicine
735,病院,byouin,hospital
736,医者,isha,doctor
737,看護師,kangoshi,nurse
738,受付,uketsuke,reception
739,診察,shinsatsu,medical examination
740,予約,yoyaku,appointment
741,保険証,hokenshou,health insurance card
742,診察券,shinsatsuken,clinic card
743,処方箋,shohousen,prescription
744,薬局,yakkyoku,pharmacy
745,体温,taion,body temperature
746,血圧,ketsuatsu,blood pressure
747,アレルギー,arerugii,allergy
748,症状,shoujou,symptoms
749,大丈夫,daijoubu,okay / alright
750,元気,genki,healthy / energetic
751,疲れた,tsukareta,tired
752,眠い,nemui,sleepy
753,寒い,samui,cold weather / feeling cold
754,暑い,atsui,hot weather
755,気持ち悪い,kimochi warui,nauseous / feel sick
756,めまい,memai,dizziness
757,吐き気,hakike,nausea
758,下痢,geri,diarrhea
759,便秘,benpi,constipation
760,生理,seiri,period / menstruation
761,妊娠,ninshin,pregnancy
762,ストレス,sutoresu,stress
763,心配,shinpai,worry
764,不安,fuan,anxiety / uneasiness
765,怖い,kowai,scary / scared
766,嬉しい,ureshii,happy
767,悲しい,kanashii,sad
768,楽しい,tanoshii,fun
769,寂しい,sabishii,lonely
770,恥ずかしい,hazukashii,embarrassed
771,怒っています,okotte imasu,angry
772,イライラします,iraira shimasu,irritated
773,びっくりします,bikkuri shimasu,surprised
774,安心します,anshin shimasu,feel relieved
775,気分,kibun,mood / feeling
776,気分がいい,kibun ga ii,feel good
777,気分が悪い,kibun ga warui,feel unwell
778,眠れません,nemuremasen,cannot sleep
779,食欲,shokuyoku,appetite
780,食欲がない,shokuyoku ga nai,no appetite
781,元気がない,genki ga nai,not energetic
782,治ります,naorimasu,recover / heal
783,治します,naoshimasu,cure / fix
784,薬を飲みます,kusuri o nomimasu,take medicine
785,休みます,yasumimasu,rest
786,横になります,yoko ni narimasu,lie down
787,救急車,kyuukyuusha,ambulance
788,緊急,kinkyuu,emergency
789,危ない,abunai,dangerous
790,安全,anzen,safe
791,注意,chuui,caution
792,禁止,kinshi,prohibited
793,喫煙,kitsuen,smoking
794,禁煙,kinen,no smoking
795,消毒,shoudoku,disinfection
796,マスク,masuku,mask
797,体調,taichou,physical condition
798,具合,guai,condition
799,どうしましたか,dou shimashita ka,what happened?
800,お大事に,odaiji ni,take care / get well soon
