No,Japanese,Romaji,Meaning
801,はい,hai,yes
802,いいえ,iie,no
803,うん,un,yeah
804,ううん,uun,nope
805,そうです,sou desu,that’s right
806,そうですか,sou desu ka,I see
807,そうですね,sou desu ne,"hmm / yes, true"
808,そうなんですか,sou nan desu ka,oh really?
809,本当ですか,hontou desu ka,really?
810,本当に,hontou ni,really
811,なるほど,naruhodo,I see / makes sense
812,いいですね,ii desu ne,that’s nice
813,すごいですね,sugoi desu ne,amazing
814,大変ですね,taihen desu ne,that’s tough
815,よかったですね,yokatta desu ne,that’s good
816,残念ですね,zannen desu ne,that’s unfortunate
817,もちろん,mochiron,of course
818,たぶん,tabun,probably
819,きっと,kitto,surely
820,ちょっと,chotto,a little / wait / excuse me
821,すみません,sumimasen,excuse me / sorry
822,ごめんなさい,gomen nasai,sorry
823,ありがとうございます,arigatou gozaimasu,thank you
824,どういたしまして,dou itashimashite,you’re welcome
825,お願いします,onegaishimasu,please
826,大丈夫です,daijoubu desu,it’s okay / I’m okay
827,わかりました,wakarimashita,understood
828,わかりません,wakarimasen,I don’t understand
829,知りません,shirimasen,I don’t know
830,もう一度,mou ichido,one more time
831,ゆっくり,yukkuri,slowly
832,早く,hayaku,quickly
833,少し,sukoshi,a little
834,たくさん,takusan,a lot
835,全然,zenzen,not at all
836,あまり,amari,not very
837,よく,yoku,often / well
838,時々,tokidoki,sometimes
839,いつも,itsumo,always
840,だいたい,daitai,usually / roughly
841,きれい,kirei,beautiful / clean
842,汚い,kitanai,dirty
843,新しい,atarashii,new
844,古い,furui,old
845,良い,ii / yoi,good
846,悪い,warui,bad
847,難しい,muzukashii,difficult
848,簡単,kantan,easy / simple
849,面白い,omoshiroi,interesting / funny
850,つまらない,tsumaranai,boring
851,楽しい,tanoshii,fun
852,忙しい,isogashii,busy
853,暇,hima,free / not busy
854,便利,benri,convenient
855,不便,fuben,inconvenient
856,親切,shinsetsu,kind
857,優しい,yasashii,kind / gentle
858,厳しい,kibishii,strict
859,静か,shizuka,quiet
860,うるさい,urusai,noisy
861,明るい,akarui,bright / cheerful
862,暗い,kurai,dark
863,広い,hiroi,spacious / wide
864,狭い,semai,narrow / small space
865,高い,takai,expensive / tall
866,安い,yasui,cheap
867,低い,hikui,low
868,長い,nagai,long
869,短い,mijikai,short
870,太い,futoi,thick / fat
871,細い,hosoi,thin / narrow
872,重い,omoi,heavy
873,軽い,karui,light
874,強い,tsuyoi,strong
875,弱い,yowai,weak
876,速い,hayai,fast
877,遅い,osoi,slow / late
878,多い,ooi,many
879,少ない,sukunai,few / little
880,近い,chikai,near
881,遠い,tooi,far
882,暑い,atsui,hot weather
883,寒い,samui,cold weather
884,暖かい,atatakai,warm weather
885,涼しい,suzushii,cool weather
886,熱い,atsui,hot object / food
887,冷たい,tsumetai,cold object / drink
888,甘い,amai,sweet
889,辛い,karai,spicy
890,可愛い,kawaii,cute
891,かっこいい,kakkoii,cool / good-looking
892,変,hen,strange
893,普通,futsuu,normal
894,特別,tokubetsu,special
895,大切,taisetsu,important / precious
896,必要,hitsuyou,necessary
897,無理,muri,impossible / too much
898,大丈夫,daijoubu,okay / safe
899,同じ,onaji,same
900,違う,chigau,different / wrong
